id,Univ (i),Univ(j),Papers,Distance (ij),No Projects,Contribution Horizon,Web Of Science Name,Country,City,Nuts CODE,geolocation,No of WoS Papers (total),No of WoS Papers (2014-2020),No of WoS Papers (2021-2024),"Language (slav -1, other - 0)",Number of students enrolled in a year,Erasmus outgoing mobilities,Erasmus incoming mobilities,Erasmus total mobilities,"Position in International rankings (high 1, low 0)"
39,AGH University of Krakow,Wroclaw University of Science & Technology,313,"270,4",27,"4394292,98",Wroclaw University of Science & Technology,PL,Wroclaw,PL514,"51.1075006,17.0618875",37822,12250,6458,1,27072,3026,2558,5584,0
40,AGH University of Krakow,University of Debrecen,373,448,36,"3928536,47",University of Debrecen,HU,Debrecen,HU321,"47.55489855,21.6203548498905",33680,9532,5979,0,29045,2147,2205,4352,0
41,AGH University of Krakow,University of Pecs,0,"832,8",11,"3240164,06",University of Pecs,HU,Pecs,HU231,"46.07356355,18.2382739260927",22209,6433,4587,0,22000,2608,2049,4657,0
42,AGH University of Krakow,University of Gdansk,51,"603,9",12,"3671677,64",University of Gdansk,PL,GDANSK,PL633,"54.3998329,18.5680212",18595,6221,4017,1,28625,2057,1661,3718,0
43,AGH University of Krakow,Warsaw University of Life Sciences,36,"284,3",17,"3463222,01",Warsaw University of Life Sciences,PL,Warszawa,PL911,"52.1651683,21.0484023995429",16991,6697,4428,1,15736,1749,1896,3645,0
44,AGH University of Krakow,University of Bucharest,108,"1123,4",27,"3451021,61",University of Bucharest,RO,Bucuresti,RO321,"44.4361414,26.1027202",27889,9183,9183,0,34000,2123,1848,3971,0
45,AGH University of Krakow,Medical University of Bialystok,9,"495,7",1,3139200,Medical University of Bialystok,PL,Bialystok,PL841,"53.132437,23.1659857",11174,4271,2933,1,5494,323,77,400,0
46,AGH University of Krakow,Babes Bolyai University from Cluj,670,"681,3",16,"3429908,06",Babes Bolyai University from Cluj,RO,Cluj Napoca,RO113,"46.7693367,23.5900604",27843,10308,5644,0,48620,5149,3819,8968,N/A
47,AGH University of Krakow,Nicolaus Copernicus University,125,"438,4",14,"2737620,35",Nicolaus Copernicus University,PL,Torun,PL613,"53.0185,18.5708014",27894,9038,6324,1,24016,2379,2296,4675,0
48,AGH University of Krakow,Lodz University of Technology,208,276,13,"2612464,44",Lodz University of Technology,PL,Lodz,PL711,"51.7687323,19.4569911",24168,7354,3874,1,12642,2657,2526,5183,0
49,AGH University of Krakow,TECHNICAL UNIVERSITY OF SOFIA,0,"1168,6",16,"3323848,36",Technical University Sofia,BG,Sofia,BG411,"42.6977211,23.3225964",6168,2331,1099,1,9202,1788,705,2493,N/A
50,AGH University of Krakow,Poznan University of Medical Sciences,23,"454,2",7,"2323038,57",Poznan University of Medical Sciences,PL,Poznan,PL415,"52.4094741,16.918422",19090,7260,5835,1,8000,528,425,953,0
51,AGH University of Krakow,University of Zagreb,204,"1413,8",57,"13961302,95",University of Zagreb,HR,Zagreb,HR050,"45.7982002,15.9703608",3515,1311,883,1,72480,,,,N/A
52,AGH University of Krakow,University of Warmia & Mazury,28,"541,2",11,"2215533,75",University of Warmia & Mazury,PL,OLSZTYN,PL622,"53.7766839,20.476507",21426,7088,4680,1,38350,4241,5123,9364,0
53,AGH University of Krakow,University of Lodz,226,"276,6",17,"2169549,13",University of Łódź,PL,LODZ,PL711,"51.8575538,19.4145321",10129,4147,2720,1,25000,804,1038,1842,0
54,AGH University of Krakow,Wroclaw University of Environmental & Life Sciences,36,270,8,"2037715,48",Wroclaw University of Environmental & Life Sciences,PL,Wroclaw,PL514,"51.111086,17.0637697",25895,11422,7570,1,8000,1230,627,1857,0
55,AGH University of Krakow,Medical University of Warsaw,43,"288,1",4,"1912047,45",Medical University of Warsaw,PL,Warszawa,PL911,"52.2337172,21.0714156104111",11524,5678,3695,1,9764,1323,551,1874,0
56,AGH University of Krakow,Iuliu Hatieganu University of Medicine & Pharmacy,0,"679,9",13,"2973457,64",Iuliu Hatieganu University of Medicine & Pharmacy,RO,Cluj-Napoca,RO113,"46.7693367,23.5900604",11524,5678,3695,0,7153,1323,551,1874,0
57,AGH University of Krakow,Transylvania University of Brasov,780,942,7,"1577328,75",Transylvania University of Brasov,RO,Brasov,RO122,"45.6453253,25.5887936",10697,4420,3058,0,20885,2031,1623,3654,0
58,AGH University of Krakow,Alexandru Ioan Cuza University,624,"802,4",9,"1177769,69",Alexandru Ioan Cuza University,RO,Iasi,RO213,"47.1748687,27.5712428965192",16618,3015,3015,0,40000,5150,1985,7135,0
59,AGH University of Krakow,West University of Timisoara,1260,"691,8",9,"1120190,63",West University of Timisoara,RO,Timisoara,RO424,"45.7476982,21.2283814",7740,3244,1698,0,13805,2344,1630,3974,0
60,AGH University of Krakow,"George Emil Palade University of Medicine, Pharmacy, Science, & Technology of Targu Mures",0,"782,6",2,"1030937,5","George Emil Palade University of Medicine, Pharmacy, Science, & Technology of Targu Mures",RO,Targu Mures,RO125,"46.5549736,24.581610724795418",5919,3143,1309,0,11000,3803,382,4185,0
61,AGH University of Krakow,University of Craiova,178,1008,13,"966062,58",University of Craiova,RO,Craiova,RO411,"44.3190159,23.7965614",8205,3246,1653,0,23000,1664,525,2189,0
62,AGH University of Krakow,University of Split,457,"1214,9",17,"3030046,45",University of Split,HR,Split,HR035,"43.507775,16.4690500081942",15904,6252,4056,1,26000,2093,1415,3508,N/A
63,AGH University of Krakow,UNIVERSITY OF RIJEKA,0,952,12,"1908024,95",University of Rijeka,HR,Rijeka,HR031,"45.28335145,14.537789935157118",14744,5403,3574,1,3000,1562,2058,3620,N/A
64,AGH University of Krakow,Technical University Kosice,187,"255,7",13,"2964780,5",Technical University Kosice,SK,Kosice,SK042,"48.7250478,20.4102986",13801,6791,2888,1,9999,1480,957,2437,0
65,AGH University of Krakow,University of Pavol Jozef Safarik Kosice,161,"257,6",4,"1838822,09",University of Pavol Jozef Safarik Kosice,SK,Kosice,SK042,"48.7200293,21.2573061",12454,4274,2361,1,7000,2183,1083,3266,0
1,University of Latvia,UNIVERSITY OF CYPRUS,20,"4057,4",123,"58094901,65",UNIVERSITY OF CYPRUS,CY,Nicosia,CY000,"35.1739302,33.364726",16954,6697,4392,0,6875,1931,1902,3833,1
2,University of Latvia,University of Tartu,693,"244,8",135,"52444253,64",University of Tartu,EE,Tartu,EE008,"58.3807628,26.7194208",34713,12022,7351,0,14000,2823,3227,6050,1
3,University of Latvia,University of Ljubljana,61,"1727,7",163,"48273117,5",University of Ljubljana,SI,Ljubljana,SI041,"46.048973,14.5039794308021",70248,22010,14037,1,37615,10707,11649,22356,0
4,University of Latvia,Masaryk University Brno,83,"1226,3",89,"42184054,1",Masaryk University Brno,CZ,Brno,CZ064,"49.1992954,16.5972215",44285,17393,10062,1,32271,8732,5926,14658,N/A
5,University of Latvia,Charles University Prague,127,"1300,2",88,"33702351,18",Charles University Prague,CZ,Praha 1,CZ010,"50.08647615,14.4246222336325",121755,40566,23309,1,49787,7433,8648,16081,N/A
6,University of Latvia,Czech Technical University Prague,13,"1304,8",81,"32924004,68",Czech Technical University Prague,CZ,Praha,CZ010,"50.102175,14.3884697",36536,15092,6821,1,16217,2155,4021,6176,1
7,University of Latvia,Tallinn University of Technology,117,"302,5",69,"30065589,57",Tallinn University of Technology,EE,Tallinn,EE001,"59.3948992,24.6717935",15190,6001,3388,1,8739,1920,2980,4900,0
8,University of Latvia,University of Warsaw,53,"669,5",96,"28918622,74",University of Warsaw,PL,WARSZAWA,PL911,"52.23961125,21.0173473017396",62301,19132,11114,1,42700,9547,6464,16011,1
9,University of Latvia,Brno University of Technology,2,"1228,2",60,"27386453,32",Brno University of Technology,CZ,Brno Stred,CZ064,"49.1992954,16.5972215",24584,10565,4981,1,17975,4786,3799,8585,0
10,University of Latvia,National University of Science & Technology POLITEHNICA Bucharest,2,"2073,7",47,"21262969,32",National University of Science & Technology POLITEHNICA Bucharest,RO,Bucharest,RO321,"44.4420231,26.0522546",38862,16158,5465,0,25469,1721,1644,3365,0
11,University of Latvia,Central European University,0,"1545,8",46,"20575367,03",Central European University,HU,Budapest,HU110,"47.546344,18.9501556",5031,2653,515,0,1479,409,469,878,N/A
12,University of Latvia,Budapest University of Technology & Economics,4,"1543,3",62,"19329058,92",Budapest University of Technology & Economics,HU,Budapest,HU110,"47.4813705,19.0556393",33370,9633,5349,0,20152,2801,3879,6680,0
13,University of Latvia,Cyprus University of Technology,0,"4134,5",54,"19267425,71",Cyprus University of Technology,CY,Lemesos,CY000,"34.79489125,32.985589384508",5349,1745,1745,0,3280,639,572,1211,0
14,University of Latvia,Sofia University,1,"2307,9",34,"19079908,91",Sofia University,BG,Sofia,BG411,"42.6978634,23.3221789",35,24,6,1,22490,1321,718,2039,0
15,University of Latvia,AGH University of Krakow,33,"968,1",54,"16553204,24",AGH University of Krakow,PL,Krakow,PL213,"50.0600082,19.924412",41427,16361,8756,1,20240,1950,2886,4836,0
17,University of Latvia,Warsaw University of Technology,225,"671,6",52,"13923689,97",Warsaw University of Technology,PL,WARSZAWA,PL911,"52.22165395,21.0073577612511",43300,15433,7129,1,25021,2216,2715,4931,0
18,University of Latvia,Alexander Dubcek University Trencin,1,"1219,2",2,"12689962,5",Alexander Dubcek University Trencin,SK,Trencin,SK022,"48.8986312,18.0474701",1813,824,486,1,2999,525,323,848,N/A
19,University of Latvia,Jagiellonian University,65,"967,1",52,"11901816,01",Jagiellonian University,PL,Krakow,PL213,"50.0609779,19.9328423",77297,25822,15766,1,33549,6043,6706,12749,1
20,University of Latvia,Eötvös Loránd University,0,"1544,9",28,"11078888,54",Eötvös Loránd University,HU,Budapest,HU110,"47.490360949999996,19.058302460603027",28687,10656,7417,0,28542,4956,5719,10675,0
21,University of Latvia,Kaunas University of Technology,112,"266,5",44,"10065665,09",Kaunas University of Technology,LT,Kaunas,LT022,"54.89877845,23.9126328823828",13691,4436,2525,1,16400,3463,2092,5555,0
22,University of Latvia,Technical University of Ostrava,0,0,26,"9844313,6",Technical University of Ostrava,CZ,Ostrava Poruba,CZ080,"49.8336617,18.1636336",18131,8543,3774,1,23558,1799,3203,5002,0
23,University of Latvia,Polytechnic Zagreb,0,"1718,1",31,"9400475,63",Polytechnic Zagreb,HR,Zagreb,HR050,"45.8010282,15.9708835",132,48,1,1,4300,,,,N/A
24,University of Latvia,Comenius University Bratislava,441,"1349,5",23,"8495864,6",Comenius University Bratislava,SK,Bratislava,SK010,"48.1410559,17.1151675874717",34517,12980,7133,1,22817,5147,3815,8962,0
25,University of Latvia,Slovak University of Technology Bratislava,8,"1348,1",37,"8072537,81",Slovak University of Technology Bratislava,SK,Bratislava,SK010,"48.1548901,17.1178281260007",23792,7705,2929,1,14500,1942,1445,3387,0
26,University of Latvia,Vilnius University,335,"296,3",36,"8047928,93",Vilnius University,LT,Vilnius,LT011,"54.682708,25.2866715",28583,9744,6204,1,23517,6940,4372,11312,1
27,University of Latvia,Gdańsk University of Technology,0,"549,7",20,"7997194,85",Gdańsk University of Technology,PL,GDANSK,PL633,"54.3482259,18.6542888",22906,8024,5202,1,14816,2978,2314,5292,0
28,University of Latvia,"University of Chemistry & Technology, Prague",6,"1302,8",25,"7476542,92","University of Chemistry & Technology, Prague",CZ,Praha,CZ010,"50.103351,14.3898299",19911,5675,3184,1,3606,632,1405,2037,0
29,University of Latvia,University of Maribor,15,1605,32,"6926672,29",University of Maribor,SI,Maribor,SI032,"46.55919145,15.6432871599097",20787,6941,6941,1,13988,2935,5453,8388,0
30,University of Latvia,Technical University of Cluj-Napoca,0,"1645,6",27,"6678885,07",Technical University of Cluj-Napoca,RO,Cluj Napoca,RO113,"46.7692926,23.5856779",14422,2589,6119,0,18649,1314,927,2241,0
31,University of Latvia,Vytautas Magnus University,76,"270,8",16,"2243583,75",Vytautas Magnus University,LT,Kaunas,LT022,"54.899158,23.91506",7931,2999,1769,1,5950,3412,2027,5439,0
32,University of Latvia,Riga Technical University,798,"2,9",30,"6280618,51",Riga Technical University,LV,Riga,LV006,"56.9473335,24.1054291800387",10166,4538,2063,1,10745,2464,2579,5043,0
33,University of Latvia,Semmelweis University,44,"1546,6",26,"5575205,96",Semmelweis University,HU,Budapest,HU110,"47.4812616,19.0830671",40126,11036,7439,0,9860,1435,1569,3004,1
34,University of Latvia,Poznań University of Technology,0,"807,8",17,"5388254,48",Poznań University of Technology,PL,POZNAN,PL415,"52.39333805,16.9190716369255",18975,7010,3878,1,37013,2921,1406,4327,0
35,University of Latvia,Adam Mickiewicz University,62,"838,3",30,"4476852,14",Adam Mickiewicz University,PL,POZNAN,PL415,"52.40816565,16.9156127251945",33276,10413,6212,1,35901,5001,3278,8279,0
36,University of Latvia,Vilnius Gediminas Technical University,30,"298,6",21,"1953341,4",Vilnius Gediminas Technical University,LT,Vilnius,LT011,"54.7216492,25.3375902203968",10284,4012,2011,1,8322,3520,2559,6079,0
37,University of Latvia,Silesian University of Technology,24,"994,3",14,"4455062,99",Silesian University of Technology,PL,GLIWICE,PL22A,"50.2901018,18.6768134289743",26930,11012,6491,1,18396,1867,1401,3268,0
38,University of Latvia,Szeged University,28,"1710,5",22,"4436448,26",Szeged University,HU,Szeged,HU333,"46.25008565,20.1465129427819",37535,9783,6029,0,22693,3388,3226,6614,0
39,University of Latvia,Wroclaw University of Science & Technology,7,"1010,5",27,"4394292,98",Wroclaw University of Science & Technology,PL,Wroclaw,PL514,"51.1075006,17.0618875",37822,12250,6458,1,27072,3026,2558,5584,0
40,University of Latvia,University of Debrecen,23,"1413,1",36,"3928536,47",University of Debrecen,HU,Debrecen,HU321,"47.55489855,21.6203548498905",33680,9532,5979,0,29045,2147,2205,4352,0
41,University of Latvia,University of Pecs,39,"1727,8",11,"3240164,06",University of Pecs,HU,Pecs,HU231,"46.07356355,18.2382739260927",22209,6433,4587,0,22000,2608,2049,4657,0
42,University of Latvia,University of Gdansk,33,"552,5",12,"3671677,64",University of Gdansk,PL,GDANSK,PL633,"54.3998329,18.5680212",18595,6221,4017,1,28625,2057,1661,3718,0
43,University of Latvia,Warsaw University of Life Sciences,4,"672,2",17,"3463222,01",Warsaw University of Life Sciences,PL,Warszawa,PL911,"52.1651683,21.0484023995429",16991,6697,4428,1,15736,1749,1896,3645,0
44,University of Latvia,University of Bucharest,16,"2088,5",27,"3451021,61",University of Bucharest,RO,Bucuresti,RO321,"44.4361414,26.1027202",27889,9183,9183,0,34000,2123,1848,3971,0
45,University of Latvia,Medical University of Bialystok,13,"514,2",1,3139200,Medical University of Bialystok,PL,Bialystok,PL841,"53.132437,23.1659857",11174,4271,2933,1,5494,323,77,400,0
46,University of Latvia,Babes Bolyai University from Cluj,37,"1646,4",16,"3429908,06",Babes Bolyai University from Cluj,RO,Cluj Napoca,RO113,"46.7693367,23.5900604",27843,10308,5644,0,48620,5149,3819,8968,N/A
47,University of Latvia,Nicolaus Copernicus University,46,"672,7",14,"2737620,35",Nicolaus Copernicus University,PL,Torun,PL613,"53.0185,18.5708014",27894,9038,6324,1,24016,2379,2296,4675,0
48,University of Latvia,Lodz University of Technology,2,"797,9",13,"2612464,44",Lodz University of Technology,PL,Lodz,PL711,"51.7687323,19.4569911",24168,7354,3874,1,12642,2657,2526,5183,0
49,University of Latvia,TECHNICAL UNIVERSITY OF SOFIA,0,"2312,9",16,"3323848,36",Technical University Sofia,BG,Sofia,BG411,"42.6977211,23.3225964",6168,2331,1099,1,9202,1788,705,2493,N/A
50,University of Latvia,Poznan University of Medical Sciences,10,"802,3",7,"2323038,57",Poznan University of Medical Sciences,PL,Poznan,PL415,"52.4094741,16.918422",19090,7260,5835,1,8000,528,425,953,0
51,University of Latvia,University of Zagreb,104,"2308,7",57,"13961302,95",University of Zagreb,HR,Zagreb,HR050,"45.7982002,15.9703608",3515,1311,883,1,72480,,,,N/A
52,University of Latvia,University of Warmia & Mazury,3,"495,1",11,"2215533,75",University of Warmia & Mazury,PL,OLSZTYN,PL622,"53.7766839,20.476507",21426,7088,4680,1,38350,4241,5123,9364,0
53,University of Latvia,University of Lodz,24,787,17,"2169549,13",University of Łódź,PL,LODZ,PL711,"51.8575538,19.4145321",10129,4147,2720,1,25000,804,1038,1842,0
54,University of Latvia,Wroclaw University of Environmental & Life Sciences,2,"1009,8",8,"2037715,48",Wroclaw University of Environmental & Life Sciences,PL,Wroclaw,PL514,"51.111086,17.0637697",25895,11422,7570,1,8000,1230,627,1857,0
55,University of Latvia,Medical University of Warsaw,29,"673,3",4,"1912047,45",Medical University of Warsaw,PL,Warszawa,PL911,"52.2337172,21.0714156104111",11524,5678,3695,1,9764,1323,551,1874,0
56,University of Latvia,Iuliu Hatieganu University of Medicine & Pharmacy,8,"1645,1",13,"2973457,64",Iuliu Hatieganu University of Medicine & Pharmacy,RO,Cluj-Napoca,RO113,"46.7693367,23.5900604",11524,5678,3695,0,7153,1323,551,1874,0
57,University of Latvia,Transylvania University of Brasov,9,"1907,1",7,"1577328,75",Transylvania University of Brasov,RO,Brasov,RO122,"45.6453253,25.5887936",10697,4420,3058,0,20885,2031,1623,3654,0
58,University of Latvia,Alexandru Ioan Cuza University,11,"1605,2",9,"1177769,69",Alexandru Ioan Cuza University,RO,Iasi,RO213,"47.1748687,27.5712428965192",16618,3015,3015,0,40000,5150,1985,7135,0
59,University of Latvia,West University of Timisoara,2,"1850,9",9,"1120190,63",West University of Timisoara,RO,Timisoara,RO424,"45.7476982,21.2283814",7740,3244,1698,0,13805,2344,1630,3974,0
60,University of Latvia,"George Emil Palade University of Medicine, Pharmacy, Science, & Technology of Targu Mures",13,"1747,7",2,"1030937,5","George Emil Palade University of Medicine, Pharmacy, Science, & Technology of Targu Mures",RO,Targu Mures,RO125,"46.5549736,24.581610724795418",5919,3143,1309,0,11000,3803,382,4185,0
61,University of Latvia,University of Craiova,7,"2167,1",13,"966062,58",University of Craiova,RO,Craiova,RO411,"44.3190159,23.7965614",8205,3246,1653,0,23000,1664,525,2189,0
62,University of Latvia,University of Split,29,"2109,8",17,"3030046,45",University of Split,HR,Split,HR035,"43.507775,16.4690500081942",15904,6252,4056,1,26000,2093,1415,3508,N/A
63,University of Latvia,UNIVERSITY OF RIJEKA,0,"1846,9",12,"1908024,95",University of Rijeka,HR,Rijeka,HR031,"45.28335145,14.537789935157118",14744,5403,3574,1,3000,1562,2058,3620,N/A
64,University of Latvia,Technical University Kosice,0,"1220,9",13,"2964780,5",Technical University Kosice,SK,Kosice,SK042,"48.7250478,20.4102986",13801,6791,2888,1,9999,1480,957,2437,0
65,University of Latvia,University of Pavol Jozef Safarik Kosice,26,"1222,8",4,"1838822,09",University of Pavol Jozef Safarik Kosice,SK,Kosice,SK042,"48.7200293,21.2573061",12454,4274,2361,1,7000,2183,1083,3266,0
